,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
1035,15937,8022.76,16284,8043.19,15801,8020.51
1040,16419,8279.74,17287,8806.3,16552,8130.16
1045,15944,8624.95,16957,8360.88,15969,8042.35
1050,16381,8978.6,15821,10977.14,15642,9558.02
1055,16124,11253.61,16840,8387.54,16618,10321.19
1060,16054,7654.1,16945,8829.26,16385,8312.76
1065,16273,8709.51,16478,7835.75,15788,7838.91
1070,15493,7672.76,15975,7414.63,15469,7239.85
1075,16332,11381.02,16794,11977.12,16359,11451.38
1080,16060,8605.56,16815,8424.17,16181,8310.89
1085,15791,7603.06,16050,7664.17,15689,7689.89
1090,15457,7684.24,16167,8846.31,15754,8677.94
1095,17074,17362.96,18122,17630.78,17023,16973.41
1100,16516,9340.61,16712,8575.34,16196,9370.7
1105,16300,8449.94,16728,9148.53,16285,8945.88
1110,15993,9010.66,16128,8048.59,15599,7305.27
1115,16268,9320.47,17034,9839.07,16741,9782.09
1120,15818,8814.28,14930,8253.9,14730,7983.42
1125,14731,7499.42,16736,7657.2,15837,7712.25
1130,15789,8169.65,17259,13908.32,16572,13188.49
1135,16905,13060.72,16186,6816.79,15757,6829.22
1140,15475,7174.67,16373,7605.78,15705,7211.71
1145,16718,10581.57,17436,11410.48,16847,11219.02
1150,17034,9264.98,16583,9818.76,16134,8966.99
1155,15896,9573.11,16006,7969.33,16086,8677.37
1160,14905,7324.75,16124,7305.62,15224,7215.76
1165,16659,8338.29,16940,10108.54,16906,9740.17
1170,15671,9522.2,17239,17243.33,16229,16719.82
1175,16286,16599.44,16078,8251.58,15793,8221.71
1180,15946,8857.92,15648,7947.43,15145,7806.56
1185,14806,7726.1,16018,8401.77,15431,8227.64
1190,16101,9104.49,15356,8496.66,14980,8289.06
1195,15235,7720.12,15333,7959.92,14892,7240.62
1200,14226,7499.45,16749,8118.17,15663,7967.92
1205,16548,8220.66,15891,7964.5,15711,8377.54
1210,15353,8039.42,16333,8410.84,16023,8180.92
1215,15772,8952.71,16733,13524.33,15838,9613.66
1220,15672,12494.1,15674,7991.25,15650,11840.8
1225,16424,9741.9,16535,11126.1,15448,9162.49
1230,15833,9974.43,16323,8063.77,16300,9576.01
1235,15789,8908.28,16226,9586.73,15168,8867.01
1240,15924,8729.9,17090,10165.81,16747,10359.56
1245,16940,10102.36,17456,10131.37,17135,10030.93
1250,16571,11722.32,16341,10589.62,15698,9939.41
1255,15595,9006.37,17183,9843.32,16768,9825.44
1260,16037,9157.27,15704,7821.89,15351,7845.86
1265,15002,7503.6,14770,7527.9,14307,7416.33
1270,14315,7508.91,15954,8990.82,14804,7333.73
1275,16399,8879.7,15793,9161.44,15887,8917.59
1280,14799,10690.67,15977,10362.12,15884,11259.66
1285,16148,9021.91,17463,11150.48,16188,10700
1290,17004,11391.94,16682,8496.24,16442,8597.04
1295,14912,7305.48,15546,8699.09,14648,7539.45
1300,15789,9198.23,16536,9527.31,16570,10224.48
1305,15575,9519.82,15715,8363.12,15224,8624.35
1310,15374,8173.52,15689,8521.11,15492,8193.47
1315,15831,9217.31,15888,8972.59,15716,8423.89
1320,15259,8100.94,15645,8340.31,14745,8289.05
1325,15372,8681.37,16594,7914.34,16282,8293.34
1330,17355,8597.67,17618,9254.36,16797,8642
1335,15700,8388.94,16300,9469.59,16151,8192
1340,16360,9960.1,14681,8446.96,15006,9723.92
1345,14303,7408.85,14457,7845.61,14555,7940.17
1350,14098,7458.9,16427,8834.74,15192,8331.69
1355,14087,8959.5,14805,8533.28,13987,7565.38
1360,15828,8489.94,14009,7601.86,13895,8298.29
1365,12965,7547.72,14370,14254.61,14043,9292.98
1370,15602,15212.79,16553,8728.86,16046,13880.53
1375,15913,7566.44,15679,9477.95,15135,9039.08
