,Client 1,Client 2,Client 3
Time,TPS,TPS,TPS
2835,3852,3919,3877
2840,4040,3703,3887
2845,3822,3949,3950
2850,4117,3890,4059
2855,3964,3876,3929
2860,3888,3846,4033
2865,4144,3922,4059
2870,4068,3800,4012
2875,3918,3782,3902
2880,3791,3690,3847
2885,3785,3813,3915
2890,3939,3816,3953
2895,3935,3695,3875
2900,3828,3671,3718
2905,3806,3686,3868
2910,3836,3838,3997
2915,3832,3885,3939
2920,4119,3667,3934
2925,3695,3692,3696
2930,3846,3799,4000
2935,3846,3971,4062
2940,4066,3905,4013
2945,4112,3819,3912
2950,3736,3941,4161
2955,4269,4007,4096
2960,3905,3831,3940
2965,4092,3908,4054
2970,3944,3784,3840
2975,3885,3851,3975
2980,4017,3856,4025
2985,3999,4235,4263
2990,4237,3931,4150
2995,4048,4098,4157
3000,4243,3817,3890
3005,3932,4098,4202
3010,4166,3993,4212
3015,4124,4248,4238
3020,4339,3970,4091
3025,4042,3977,4202
3030,4043,4157,4143
3035,4263,3795,3980
3040,3846,3752,3718
3045,3884,3907,4179
3050,4074,4037,4199
3055,4084,4179,4296
3060,4264,4097,3998
3065,4155,3994,4233
3070,4145,4110,4174
3075,4175,4241,4332
3080,4336,4351,4431
3085,4494,3984,4085
3090,4080,3959,4123
3095,4040,4334,4223
3100,4485,4273,4638
3105,4399,3964,4032
3110,4025,3827,3989
3115,3999,4865,4925
3120,4957,4196,4307
3125,4271,4267,4191
3130,4449,4733,4852
3135,4831,4268,4480
3140,4396,3977,3929
3145,4143,4246,4499
3150,4377,4412,4625
3155,4512,4530,4660
3160,4681,4167,4184
3165,4284,4372,4415
3170,4399,4751,4973
3175,4932,4431,4643
3180,4650,4477,4529
3185,4518,4141,4386
3190,4312,4090,4062
3195,4231,4511,4697
3200,4600,3937,4021
3205,4052,3982,4122
3210,4138,4406,4671
3215,4481,3979,3998
3220,4129,4718,4902
3225,4837,3725,3890
3230,3818,4543,4701
3235,4717,4066,4159
3240,4177,3815,3991
3245,3906,3491,3659
3250,3586,3533,3598
3255,3700,3922,3998
3260,4048,3765,4017
3265,3854,4176,4210
3270,4259,3626,3698
3275,3706,3996,4143
3280,4113,4081,4085
3285,4208,3882,3993
3290,3971,3763,4007
3295,3874,3992,4082
3300,4101,3993,4155
3305,4088,3902,4008
3310,4046,3938,4090
3315,4032,4065,4131
3320,4213,4185,4392
3325,4291,3997,4174
3330,4081,3815,3999
3335,3926,4146,4281
3340,4273,4137,4190
3345,4224,4037,4213
3350,4152,4061,4200
3355,4186,4459,4682
3360,4561,4072,4210
